,Name,URL,Category,Attributes,Size,Volume,Loop count,Wedge count,Claw count,Cross count,Triangle count,Square count,4-Tour count,Maximum degree,Average degree,Fill,Size of LCC,Diameter,50-Percentile effective diameter,90-Percentile effective diameter,Median distance,Mean distance,Gini coefficient,Balanced inequality ratio,Relative edge distribution entropy,Power law exponent,Tail power law exponent,Tail power law exponent with p,p-value,Degree assortativity,Degree assortativity p-value,Clustering coefficient,Spectral norm,Algebraic connectivity,Spectral separation,Non-bipartivity,Normalized non-bipartivity,Algebraic non-bipartivity,Spectral bipartite frustration,Controllability,Relative controllability,Left size,Right size,Maximum left degree,Maximum right degree,Average left degree,Average right degree,Left balanced inequality ratio,Right balanced inequality ratio,Left tail power law exponent with p,Left p-value,Right tail power law exponent with p,Right p-value,Maximum outdegree,Maximum indegree,Size of LSCC,Relative size of LSCC,Outdegree balanced inequality ratio,Indegree balanced inequality ratio,In/outdegree correlation,Directed clustering coefficient,Operator 2-norm,Cyclic eigenvalue,Reciprocity,Negativity,Algebraic conflict,Triadic conflict,Spectral signed frustration,Outdegree tail power law exponent with p,Outdegree p-value,Indegree tail power law exponent with p,Indegree p-value,Unique edge count,Average edge multiplicity
SC,Sister cities,twin/,Miscellaneous network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",14274,20573,0.0,170445,1448380,16106419,6327.0,84861.0,1401814.0,99,2.88258,0.000201961,10320,25.0,7.00401,10.1647,8.0,7.65392,0.50604,0.299738,0.943421,2.60121,2.991,2.991,0.002,0.386786,0.0,0.111361,26.0597,0.00898129,1.12146,0.607783,0.0067209,0.0127543,0.00091467,3379.0,0.236724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sw,Southern women (small),brunson_southern-women/,Interaction network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",10,14,,12,8,0,,4.0,164.0,3,2.8,0.56,10,5.0,1.92308,3.78889,2.0,2.40741,0.0428571,0.357143,0.995193,4.08288,2.851,2.851,0.0,-0.166667,0.569033,,2.85859,0.805955,1.57497,,,,,0.0,0.0,5.0,5.0,3.0,3.0,2.8,2.8,0.357143,0.357143,2.851,0.001,2.851,0.002,,,,,,,,,,,,,,,,,,,,,
HI,Higgs,higgs-twitter-social/,Online social network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",456626,14855842,23.0,28786965703,228329313547960,1978606030373039872,83023401.0,54010191351.0,547254410446.0,51388,65.0679,7.124850000000001e-05,456290,12.0,2.63963,3.70621,3.0,3.1741,0.717584,0.22089,0.897103,1.3469,2.271,,,-0.0984448,0.0,0.00865219,677.185,,,0.169817,0.0543341,0.091225,0.000415976,,,,,,,,,,,,,,,1259.0,51386.0,360210.0,0.788851,0.265009,0.156805,0.688659,0.100511,608.347,202.697,0.316026,,,,,,,,,,
ZA,Zachary karate club,ucidata-zachary/,Human social network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",34,78,0.0,528,1764,5082,45.0,154.0,3500.0,17,4.58824,0.139037,34,5.0,1.84054,3.44198,2.0,2.44326,0.38537,0.339744,0.924709,1.78096,2.161,2.161,0.151,-0.475613,3.50945e-10,0.255682,6.7257,0.468525,1.35134,0.332823,0.285389,0.878988,0.0478936,8.0,0.235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT,Highland tribes,ucidata-gama/,Human social network,"['Unipartite', 'undirected', 'Signed', 'possibly weighted', 'no multiple edges']",16,58,0.0,387,777,1033,68.0,283.0,3928.0,10,7.25,0.483333,16,3.0,0.979675,1.83359,1.0,1.45421,0.131466,0.405172,0.988424,2.18281,8.991,8.991,0.41,0.0499048,0.594725,0.527132,6.48338,2.10254,1.33248,0.561989,0.517455,2.37514,0.0819014,1.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.04029,0.132353,0.035872,,,,,,
MT,Taro exchange,moreno_taro/,Human social network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",22,78,0.0,109,1076,1645,10.0,4.0,546.0,12,7.09091,0.168831,22,5.0,1.93226,3.25962,2.0,2.37576,0.117716,0.423077,0.989648,8.27482,8.991,8.991,0.88,-0.375145,0.000713882,0.275229,7.50179,1.07252,1.26179,0.280755,0.318664,1.05184,0.0741685,2.0,0.0909091,,,,,,,,,,,,,6.0,6.0,22.0,1.0,0.423077,0.423077,1.0,0.275229,3.7509,3.7509,1.0,,,,,8.991,0.851,8.991,0.865,,
SW,Southern women (large),opsahl-southernwomen/,Interaction network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",32,89,,397,1206,2224,,341.0,5050.0,14,5.5625,0.353175,32,5.0,1.9434,3.15188,2.0,2.41341,0.244694,0.393258,0.964788,2.11352,4.691,4.691,0.103,-0.278319,0.00826782,,6.74191,0.932001,1.53921,,,,,4.0,0.125,18.0,14.0,8.0,14.0,4.94444,6.35714,0.370787,0.348315,8.991,0.174,2.291,0.303,,,,,,,,,,,,,,,,,,,,,
MZ,Zebra,moreno_zebra/,Animal network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",27,111,0.0,1108,3818,9291,312.0,2325.0,23254.0,14,8.22222,0.316239,23,4.0,1.19706,2.65039,2.0,1.78947,0.307641,0.355856,0.943726,1.84123,1.691,1.691,0.0,0.717703,1.96994e-36,0.844765,12.2853,0.519981,3.51466,0.748511,0.572364,1.52721,0.0418165,1.0,0.037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM,Corporate club memberships,brunson_club-membership/,Affiliation network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",40,95,,534,1935,6874,,212.0,4186.0,21,4.75,0.253333,40,5.0,2.06634,3.37317,3.0,2.54667,0.300632,0.384211,0.954522,2.3753,2.871,2.871,0.238,-0.113162,0.274887,,6.46551,0.86761,1.80622,,,,,10.0,0.25,25.0,15.0,7.0,21.0,3.8,6.33333,0.421053,0.347368,8.031,0.927,2.401,0.558,,,,,,,,,,,,,,,,,,,,,
BC,Corporate leaderships,brunson_corporate-leadership/,Affiliation network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",44,99,,453,1035,1755,,195.0,3782.0,12,4.5,0.20625,44,6.0,2.40488,3.8127,3.0,2.86676,0.25,0.414141,0.958209,2.52549,3.691,3.691,0.557,-0.0860443,0.39709,,6.1825,0.48521,1.75508,,,,,4.0,0.0909091,20.0,24.0,9.0,12.0,4.95,4.125,0.383838,0.353535,5.691,0.297,2.331,0.717,,,,,,,,,,,,,,,,,,,,,
MK,Kangaroos,moreno_kangaroo/,Animal network,"['Unipartite', 'undirected', 'Positive weights', 'no multiple edges']",17,91,0.0,1010,3567,8845,283.0,2114.0,21134.0,15,10.7059,0.669118,17,3.0,0.659794,1.66667,1.0,1.22759,0.184228,0.406593,0.968337,1.45147,6.071,6.071,0.056,-0.193351,0.00891749,0.840594,124.79,1.039,2.30723,0.765565,0.654378,0.904799,0.0211285,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC,Italian CNR,dimacs10-cnr-2000/,Hyperlink network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",325557,2738969,,7861227192,,,20977629.0,81330781033.0,682096634970.0,18236,16.8264,,325557,34.0,8.59452,14.4069,9.0,9.59626,0.734246,0.214987,,,2.861,,,-0.215303,0.0,0.00800548,726.039,8.7107e-06,1.02746,0.0267257,0.000102737,0.000209185,3.108e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qkr,Wikiquote edits (kr),edit-krwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",39,37,,47,68,73,,1.0,276.0,8,1.89744,0.0857143,9,2.0,1.29839,1.85968,2.0,1.6092,0.420541,0.324324,0.935015,4.65483,2.541,2.541,0.576,-0.342517,0.0639079,,4.0,0.304084,1.17157,,,,,12.0,0.315789,14.0,25.0,8.0,5.0,2.64286,1.48,0.297297,0.378378,2.091,0.667,3.131,0.893,,,,,,,,,,,,,,,,,,,,30.0,1.23333
CU,Contiguous USA,contiguous-usa/,Infrastructure network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",49,107,0.0,421,494,382,57.0,70.0,2458.0,8,4.36735,0.0909864,49,11.0,3.47664,6.98376,4.0,4.25502,0.201221,0.425234,0.982602,1.71537,8.991,8.991,0.668,0.233397,0.000577516,0.406176,5.31855,0.0980487,1.16623,0.456938,0.28182,0.483588,0.027682,3.0,0.0612245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,Rhesus macaques,moreno_rhesus/,Animal network,"['Unipartite', 'directed', 'Positive weights', 'no multiple edges']",16,111,0.0,586,8175,30109,131.0,724.0,8274.0,20,13.875,0.4625,16,2.0,0.860714,1.76667,1.0,1.36996,0.205518,0.414414,0.97286,2.00956,8.991,8.991,0.165,-0.109139,0.202576,0.670648,122.605,8.1602,1.92312,0.645909,0.625357,2.64703,0.0767255,0.0,0.0,,,,,,,,,,,,,10.0,12.0,16.0,1.0,0.405405,0.378378,0.532295,0.616095,78.2869,49.7224,0.756757,,,,,6.521,0.146,8.521,0.923,,
DO,Dolphins,dolphins/,Animal network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",62,159,0.0,923,1861,2769,95.0,278.0,6234.0,12,5.12903,0.0840825,62,8.0,2.83659,5.05229,3.0,3.45433,0.325015,0.386792,0.957397,1.70853,7.711,7.711,0.469,-0.043594,0.438517,0.308776,7.19361,0.172973,1.2118,0.46883,0.286231,0.528476,0.025759,6.0,0.0967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,Chesapeake Bay,dimacs10-chesapeake/,Trophic network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",39,170,0.0,2048,12393,72638,194.0,1762.0,22628.0,33,8.71795,0.22942,39,3.0,1.39512,1.95519,2.0,1.82863,0.317496,0.364706,0.949334,2.10665,3.571,3.571,0.625,-0.375783,7.61105e-13,0.28418,11.4959,1.63679,1.59944,0.374781,0.352276,1.74751,0.0501125,2.0,0.0512821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ar,American Revolution,brunson_revolution/,Affiliation network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",141,160,,3433,58072,756527,,64.0,14872.0,59,2.2695,0.235294,141,6.0,3.07998,3.82569,4.0,3.10733,0.551654,0.296875,0.772611,5.50371,2.721,2.721,0.014,-0.243064,0.00195475,,7.94968,0.0763335,1.1031,,,,,131.0,0.929078,136.0,5.0,4.0,59.0,1.17647,32.0,0.45625,0.3,3.391,0.196,2.011,0.554,,,,,,,,,,,,,,,,,,,,,
bgn,Wikibooks edits (gn),edit-gnwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",68,62,,85,97,92,,4.0,484.0,8,1.82353,0.0547112,10,4.0,1.52174,3.4,2.0,2.09259,0.396019,0.33871,0.949346,4.42279,2.491,2.491,0.282,-0.0365784,0.792864,,4.07914,,1.28994,,,,,28.0,0.411765,21.0,47.0,8.0,3.0,2.95238,1.31915,0.33871,0.419355,3.651,0.447,3.471,0.087,,,,,,,,,,,,,,,,,,,,54.0,1.14815
brm,Wikibooks edits (rm),edit-rmwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",70,67,,98,117,113,,4.0,552.0,8,1.91429,0.0563654,12,5.0,1.69672,3.58077,2.0,2.30189,0.415474,0.335821,0.946903,4.1103,2.411,2.411,0.292,-0.0343382,0.798032,,4.07914,0.303016,1.24702,,,,,28.0,0.4,21.0,49.0,8.0,3.0,3.19048,1.36735,0.313433,0.41791,3.121,0.434,3.251,0.047,,,,,,,,,,,,,,,,,,,,58.0,1.15517
qang,Wikiquote edits (ang),edit-angwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",625,1303,,56787,4034905,224438420,,21264.0,400706.0,432,4.1696,0.0146327,446,14.0,3.23739,8.50337,4.0,4.90059,0.661897,0.251727,0.795138,3.3351,2.051,2.051,0.031,-0.124579,0.000340374,,42.2019,0.00238296,1.04835,,,,,409.0,0.658615,109.0,516.0,432.0,42.0,11.9541,2.52519,0.142748,0.354566,1.881,0.34,5.261,0.0,,,,,,,,,,,,,,,,,,,,823.0,1.58323
qks,Wikiquote edits (ks),edit-kswikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",77,70,,91,116,113,,4.0,550.0,10,1.81818,0.046003,9,4.0,1.35714,2.76875,2.0,1.83908,0.420448,0.335714,0.949612,4.4841,2.501,2.501,0.41,-0.211389,0.101969,,4.25046,,1.02265,,,,,27.0,0.350649,26.0,51.0,10.0,4.0,2.69231,1.37255,0.342857,0.414286,2.651,0.605,3.341,0.842,,,,,,,,,,,,,,,,,,,,61.0,1.14754
bbm,Wikibooks edits (bm),edit-bmwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",79,75,,96,102,88,,4.0,558.0,8,1.89873,0.0466667,13,5.0,2.07143,3.78421,3.0,2.56395,0.402963,0.34,0.951169,4.28023,2.451,2.451,0.512,-0.0302604,0.813876,,4.17517,0.177502,1.25232,,,,,28.0,0.358974,25.0,54.0,8.0,5.0,3.0,1.38889,0.346667,0.413333,2.551,0.365,3.381,0.852,,,,,,,,,,,,,,,,,,,,63.0,1.19048
qbm,Wikiquote edits (bm),edit-bmwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",84,77,,94,107,97,,4.0,554.0,8,1.83333,0.0414541,11,4.0,1.94595,3.5875,2.0,2.40909,0.410482,0.337662,0.952964,4.67413,2.551,2.551,0.373,-0.04811,0.703523,,4.74529,0.387754,1.16331,,,,,30.0,0.357143,28.0,56.0,8.0,7.0,2.75,1.375,0.311688,0.415584,2.641,0.528,3.511,0.511,,,,,,,,,,,,,,,,,,,,65.0,1.18462
Ms,Crisis in a Cloister,moreno_sampson/,Human social network,"['Unipartite', 'directed', 'Signed', 'possibly weighted', 'no multiple edges']",18,189,0.0,1683,24660,119784,479.0,4313.0,41382.0,28,21.0,0.601307,18,2.0,0.580709,1.43898,1.0,1.12387,0.107186,0.423913,0.992852,2.49576,8.991,8.991,0.216,-0.0792681,0.211656,0.853832,10.907,9.95207,1.05239,0.727559,0.730621,6.26551,0.112779,0.0,0.0,,,,,,,,,,,,,15.0,16.0,18.0,1.0,0.402174,0.434783,0.115657,0.655719,7.11974,4.04028,0.641304,0.472826,7.49684,0.380062,0.153345,8.141,0.924,3.291,0.053,,
bbi,Wikibooks edits (bi),edit-biwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",78,79,,124,167,168,,7.0,718.0,10,2.02564,0.0516975,21,6.0,2.50917,4.13824,3.0,2.96163,0.429442,0.329114,0.942556,3.96259,2.371,2.371,0.3,-0.0180524,0.884714,,4.72499,0.11704,1.16949,,,,,30.0,0.384615,24.0,54.0,10.0,6.0,3.29167,1.46296,0.341772,0.405063,3.491,0.136,3.121,0.141,,,,,,,,,,,,,,,,,,,,67.0,1.1791
MA,Marvel,marvel/,Miscellaneous network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",25914,96662,,12869214,3054666860,795147934751,0.0,10709594.0,137346932.0,1625,7.46021,0.000767098,19365,11.0,3.95558,5.44245,4.0,4.49185,0.615843,0.276929,0.895614,1.63585,2.181,2.181,0.049,-0.0177013,3.71711e-08,,69.1365,,1.29064,,,,,9364.0,0.481985,6486.0,19428.0,1625.0,111.0,14.9032,4.9754,0.181385,0.347541,1.951,0.009,4.681,0.029,,,,,,,,,,,,,,,,,,,,,
MP,PDZBase,maayan-pdzbase/,Metabolic network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",212,244,2.0,1049,3221,9571,1.0,122.0,5656.0,21,2.30189,0.010807,161,10.0,4.71888,7.20609,5.0,5.11456,0.442178,0.317623,0.924723,3.00686,2.091,2.091,0.009,-0.356716,5.71288e-16,0.00285987,5.84066,0.045973,1.00015,0.000152507,0.00256968,0.00666135,0.000641433,100.0,0.471698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mrn,Wiktionary edits (rn),edit-rnwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",89,88,,249,999,3278,,6.0,1320.0,19,1.97753,0.046595,23,5.0,1.61411,3.18167,2.0,2.22686,0.474523,0.306818,0.912718,4.45425,2.501,2.501,0.947,-0.178224,0.118489,,4.73225,0.0739999,1.01315,,,,,39.0,0.438202,27.0,62.0,19.0,9.0,3.25926,1.41935,0.295455,0.409091,2.761,0.906,3.271,0.155,,,,,,,,,,,,,,,,,,,,78.0,1.12821
mmh,Wiktionary edits (mh),edit-mhwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",83,92,,110,147,153,,3.0,626.0,21,2.21687,0.0427842,33,9.0,3.45109,5.99162,4.0,4.05103,0.481683,0.304348,0.947459,4.38271,2.481,2.481,0.363,-0.0885168,0.476275,,11.0936,0.078662,2.14514,,,,,25.0,0.301205,29.0,54.0,11.0,21.0,3.17241,1.7037,0.304348,0.369565,4.341,0.48,3.401,0.574,,,,,,,,,,,,,,,,,,,,67.0,1.37313
b6,Pro League (2016/2017),league-be1-2016/,Interaction network,"['Unipartite', 'directed', 'Signed', 'possibly weighted', 'multiple edges']",16,239,0.0,1680,26932,135430,560.0,4755.0,44548.0,30,29.875,0.745833,16,1.0,0.468872,0.893774,1.0,0.941392,0.0583101,0.458101,0.997941,10.2349,8.991,8.991,0.001,-0.121119,0.065527,1.0,17.3706,23.6833,1.04716,0.77752,0.832478,11.2695,0.194302,0.0,0.0,,,,,,,,,,,,,15.0,15.0,16.0,1.0,0.441341,0.424581,-0.196684,0.75496,16.4977,2.39884,0.703911,0.335196,12.789,0.476923,0.3045,8.621,0.417,8.991,0.292,179.0,1.3352
qtk,Wikiquote edits (tk),edit-tkwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",93,95,,158,227,233,,14.0,960.0,13,2.04301,0.0460157,12,7.0,1.84375,4.675,2.0,2.64151,0.427592,0.326316,0.943613,3.77921,2.861,2.861,0.241,0.0810802,0.468983,,5.23962,0.143132,1.43846,,,,,39.0,0.419355,27.0,66.0,13.0,4.0,3.51852,1.43939,0.315789,0.4,2.251,0.042,7.181,0.879,,,,,,,,,,,,,,,,,,,,82.0,1.15854
