Name,Attributes,n,n1,n2
South African companies,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",11,6,5
Southern women (small),"['Interaction network', 'Bipartite undirected', 'Unweighted no multiple edges']",10,5,5
HIV,"['Human contact network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Only the largest connected component of the original data is included']",40,,
Zachary karate club,"['Human social network', 'Unipartite undirected', 'Unweighted no multiple edges']",34,,
Highland tribes,"['Human social network', 'Unipartite undirected', 'Signed possibly weighted no multiple edges']",16,,
Taro exchange,"['Human social network', 'Unipartite directed', 'Unweighted no multiple edges']",22,,
Southern women (large),"['Interaction network', 'Bipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is the join of an underlying network']",32,18,14
Zebra,"['Animal network', 'Unipartite undirected', 'Unweighted no multiple edges']",27,,
Corporate club memberships,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",40,25,15
Corporate leaderships,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",44,20,24
Kangaroos,"['Animal network', 'Unipartite undirected', 'Positive weights no multiple edges']",17,,
Iceland,"['Human contact network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Only the largest connected component of the original data is included']",75,,
Wikiquote edits (kr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",39,14,25
Contiguous USA,"['Infrastructure network', 'Unipartite undirected', 'Unweighted no multiple edges']",49,,
Rhesus macaques,"['Animal network', 'Unipartite directed', 'Positive weights no multiple edges']",16,,
Dolphins,"['Animal network', 'Unipartite undirected', 'Unweighted no multiple edges']",62,,
Chesapeake Bay,"['Trophic network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is not directed but the underlying data is', 'Does not have multiple edges but the underlying data has']",39,,
American Revolution,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",141,136,5
Wikibooks edits (gn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",68,21,47
Wikibooks edits (rm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",70,21,49
Wikiquote edits (ang),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",59,20,39
Wikiquote edits (ks),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",77,26,51
Wikibooks edits (bm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",79,25,54
Wikiquote edits (bm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",84,28,56
Crisis in a Cloister,"['Human social network', 'Unipartite directed', 'Signed possibly weighted no multiple edges', 'Edges may have weight zero']",18,,
Wikibooks edits (bi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",78,24,54
Cattle,"['Animal network', 'Unipartite directed', 'Positive weights no multiple edges', 'Inverted edges can be interpreted as negated edges']",28,,
PDZBase,"['Metabolic network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops']",212,,
Wiktionary edits (rn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",89,27,62
Wiktionary edits (mh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",83,29,54
Pro League (2016/2017),"['Interaction network', 'Unipartite directed', 'Signed possibly weighted multiple edges', 'Inverted edges can be interpreted as negated edges', 'Edges may have weight zero']",16,,
Wikiquote edits (tk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",93,27,66
Wiktionary edits (ch),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",103,36,67
Train bombing,"['Human social network', 'Unipartite undirected', 'Positive weights no multiple edges']",64,,
